"Skills
Ability to multi-task, react quickly to shifting priorities and meet deadlines. Solid web 
development experience using OOP, PHP, ASP NET C#, AJAX, MySQL, MS SQL, JavaScript, XML, 
HTML and CSS.
.NET (2.0/3.0/3.5/4.0)
I  have  been  working  in  .NET  for  several  years  now.  I  have  become  habituated  to  its 
methodologies and  feel  comfortable  developing  any  application.  I  have  developed  both 
desktop   and   web   based   applications,   using   VB.NET   /   C#   /   ASP.NET   languages.
PHP
I have an intimate knowledge of how to create web sites using PHP coding. I specialize in making 
web  sites,  web  services  and  web  applications  using  PHP  and  MySQL  databases  (or  NoSQL, 
Database cache  file),  these  are  web  sites  that  run  using  a  database  and  a  content  management 
system. The advantage of this is a web site that can perform an advanced function, e.g. booking 
system,  update  content  multi  language,  and  a  web  site  that  you  can  easily  update  on  a  regular 
basis.
Social APIs
Well-versed and easily can adapt any stander with RESTful OAuth-based social networking APIs: 
Twitter, Facebook API, Google map API/Youtube API, Disqus, Google+, Mail Chimp
SQL/PLSQL
Good working knowledge of SQL statements. I have extensive knowledge of creating and 
maintaining databases in Microsoft SQL Server and MYSQL, including creating users, roles, tables, 
indexes, stored procedures and setting permissions. I have knowledge of using simple and complex 
SQL statements, both DDL and DML. Having been interested in the performance tuning aspects of 
MS-SQL I have learned a great deal on how to optimization databases and related code. I have 
also briefly used Oracle and MySQL.
HTML / CSS / JavaScript / VBScript / AJAX
I have built several websites over the past years and also continue to build them in the .NET, PHP 
environment. am a proficient coder of HTML and like to stick to using W3C compliant code. 
Although I tend to avoid client side code, I use JavaScript especially with the revival of AJAX. As 
well as using the Microsoft AJAX component library I also use custom JavaScript to connect to web 
services for asynchronous interaction. More recently I have started working with Silverlight via RIA 
Services, although this is not a preferred development tool.
SOA/Web services/WCF
I have built SOA applications using WCF (Windows Communication Foundation) for use with AJAX 
client-side cod and also secured for business to business communications. I have used WCF data 
contracts to serialize proprietary classes and have also used XML serialization for transferring 
binary files between servers. I now feel proficient at creating SOA applications using WCF.
N-Tier Architecture
After discovering the benefits of n-tier architecture several years ago I have progressed my own 
architecture code base through several stages and have finally reached a highly robust, scalable 
and easy to implement de-coupled n-tier architecture which I have written in C# with templates 
for Code Smith.
C++ / Visual C++
C++ was essentially my first language and is where I retain my object oriented roots. I used it 
mostly in my final year project at University, where I used Microsoft Visual C++ and the Win32 API 
to create a GUI application using Win32 API.
Visual Basic
I used Visual Basic predominantly throughout my college studies. I have developed many 
applications/utilities in this language, such as a remake of the TV game show ‘Who Wants to be a 
Millionaire’, a chat server relay application and a multimedia file browsing utility.
ASP
I have used classic ASP for several websites before the dawn of ASP.NET. I have made a photo 
gallery site for my personal use, as well as a dynamic credit/debit card payment system.
Operating Systems
Windows XP, Vista, NT, 2000 Server, Server 2003 R2, Macintosh X (some expr with Solaris & 
Linux)","""SKL""","""Skills"""
"Skill
Field of Study
Software Engineering
OS
Windows 2000/2003/XP/Vista/7
Programming &
Scripting Language
Current
：
Java
Up to now
：

JavaS cript, JQuery, CSS, XML, JSON

C# (ASP.NET WebForms, ASP.NET MVC, Winforms, WPF, Web Services, 
Remoting, NHibernate)

JAVA (JSP, EJB, Struts 2, RMI, Spring MVC, Hibernate)

Windows Batch programming, PowerShell, Lunix Shell

Python
Tools (Others) IDE: 

Visual Studio 2005, 2008, 2010, 2012

Eclipse

NetBeans
Database: 

MS SQL Server 2000, 2005, 2008, 2012

Oracle 11g

MySQL 5
ORM:

Nhibernate 3

Entity Framework 4
Supporting tools: 

MS Project

Enterprise Architect

Subversion

Perforce

UML 2.0

Maven, Nexus

TeamCity
Development 
methodology

Agile SCRUM
Field of Study
Technical English
Skills

Specialized in translating IT documents, from English into Vietnamese, 
and vice versa.

Have interpretation skill at medium level.

Able to teach English at upper-immediate level.","""SKL""","""Skill"""
"Key Skills 
3.1.Management Experience: 
•
Project Management 
•
Process Management: SDLC, CMMI &amp; Documentations 
•
Quality Control : Testing and deployment Procedures 
3.2.Technical Experience: 
•
Net Technologies : Visual C#.NET, ASP.NET, ADO.NET, 
•
J2EE Technologies : Core Java, Servlet, JSP 
•
Framework: Struts2, Hibernate 3.0, Spring 
•
Database Programming Languages: Visual Basic 5.0 &amp; Borland Delphi5 
•
Database: MySQL, SQL Server 2000, DB2e 8.1 
•
Others Web Scripts: PHP, JavaScript, 
•
Report Components: Elixir Report, Crystal Report 
•
Open Source: Eclipse, ANT, Tomcat, Maven, Lucene 
•
Application Server: WebSphere 
•
Software Testing: Creation of Test Cases, System Integration Testing and User Acceptance Testing 
3.3.Domain Knowledge: 
•
Insurance – Quotation System, Financial Planning, Contact Management &amp; CPF Projection Cash 
Flow System 
•
Manufacturing – Inventory Control System, Sales Order System &amp; Material Tracking System 
•
Automobile – Spare Parts Counter Sales System, Warranty Maintenance System &amp; ABC Analysis 
System  ","""SKL""",""""""
"Technical Skills
Domain
CRM, Social Network, Automotive, Telecom
Programming & Scripting
Language
Java, JNI, J2ME, C++, C# (Desktop/Device), VB,
Install Shield Scripting, C, Linux Shell Scripting,
VC++(Win32,MFC,ATL,COM,CLR), .Net
Framework, .Net Compact Framework
Operating Systems Linux, VxWorks, Windows, WinCE,Palm OS
Keywords Automotive , HA, VoIP (H450.3) Development
Development/Productivity Tools
JIRA, MS Visio,InstallShield 7.0,Smithproject
(http://smithproject.org/) , GCC Tool Chain
Wireshark
Database SQL Server 7.0, MS Access
IDE Vim, Microsoft Visual Studio 2008 , Metrowerks
Codewarrior , Eclipse","""SKL""","""Technical Skills"""
"Technical Background
 Proven ability to earn the trust and respect of senior technical colleagues.
 Excellent understanding of agile software development methodologies and product management within an agile environment.
 Experience managing software products on mobile platforms including iOS and Android.
 Good understanding of major social media platforms (Facebook, Twitter, LinkedIn, VisiKard) and Internet marketing methods.","""SKL""","""Technical Background"""
"Communications Skills
 Extremely strong communication skills in English, both verbal and written.
 Extensive experience in giving presentations to executive-level staff at customers, executive-level internally, investor-level for company financing, and large groups for PR purposes.
 Leadership skills and experience managing a worldwide team across multiple time zones.
 Product management experience through complete product life-cycle, including requirements gathering, design, development, verification, product launch, maintenance, and end-of-life.
 Extensive experience making difficult product decisions based on customer requirements, resource constraints, and a solid understanding of the market.","""SKL""","""Communications Skills"""
"Experience Summary
Presently working in Vietnam (Ho Chi Minh City) as Project Leadwith a consistent track 
record  of leading  &amp; deliveri ng Automotive  and Android projects. Committed  to 
professionalism, highly organized, able to see the big picture while paying attention to small 
details, and excellent communication skills. ","""SKL""",""""""
"Managerial 

Involved in Project / Program Planning, Execution and Management, in tune with the 
core business objectives.

Implementation of project plans within pre- set budgets and deadlines.

Process vision and design, enhancement strategy and transition strategy.

Managing resource allocations and setting up of communication channels across the 
various horizons of the organization structure. ","""SKL""",""""""
"Technical

Expert in application development and functional testing on multiple platforms which 
includes  (Android,  Windows  Mobile,  Windows,  Linux,  Palm  OS,  Web  OS, VxWorks, 
Blackberry) 

Have  good  working  knowledge  of  automotive  protocols  like OBD -II,  KWP  2000, 
CANopen, SAE J1939 and proprietary CAN based protocol (CANFreestyle) 

Developed  a  test  framework  for the  compliance  testing  of  proprietary  CANFreestyle 
protocol for Europe based tie r - 1 automotive display OEM.

Developed  a n OBD -II  based  diagnostic  application  on  Android,  Palm  OS  and 
Blackberry (J2ME).

Developed a CANopen and J1939 based PC diagnostic application for a US based tier -
1 OEM.

Build the serial communication support for Android version 1.6 (Donut) running on TI 
OMAP 3530 board.

Good  design  and  development experience  spanning  all  phases  of  the  software 
Development life  cycle including Requirements,  LLD/HLD,  Coding/Unit  testing, and 
system integration testing . 
SAF High Availability specification knowledge and working experience for the 
development of Notification Service and Log Service.

Have worked on H450.3call diversion featurewhich involves diverting an incoming 
call to a voice mail server when the phone state is busy, ring timeout or call 
disconnected etc.

Good Customer onsite/offshore support experience. ","""SKL""",""""""
"Relationship Management

Meeting deadlines and TAT without compromising quality norms and adhering to 
SLA.

Delivery Management &amp; Post Implementation supports. 

Understanding  &amp; coordinating client's  needs /  enhancements, customization, 
software -related issues, provide solutions in adherence to delivery schedules.

Achieving customer satisfaction by ensuring service quality norms and build the 
brand image by exceeding customer expectations. ","""SKL""",""""""
