LANGUAGES,NOUN,ROOT,LANGUAGES,O
0,0,0,0,0
Languages,NOUN,compound,Average,O
Fluent,ADJ,compound,Average,S-LEVEL
Good,PROPN,compound,Fair,S-LEVEL
Fair,PROPN,compound,Average,S-LEVEL
Average,NOUN,ROOT,Average,S-LEVEL
0,0,0,0,0
Vietnamese,NOUN,amod,ü,S-SKILL
ü,X,ROOT,ü,O
0,0,0,0,0
English,PROPN,amod,ü,S-SKILL
ü,X,ROOT,ü,O
0,0,0,0,0
Technical,PROPN,compound,Summary,O
Summary,PROPN,ROOT,Summary,O
0,0,0,0,0
With,ADP,ROOT,With,O
more,ADJ,advmod,3,O
3,NUM,nummod,experience,B-LEVEL
years’,NOUN,compound,experience,M-LEVEL
experience,NOUN,pobj,With,E-LEVEL
in,ADP,prep,experience,O
developing,VERB,pcomp,in,O
Windows,PROPN,compound,Application,B-SKILL
Application,PROPN,dobj,developing,E-SKILL
",",PUNCT,punct,Application,O
ASP.NET,PROPN,compound,Application,B-SKILL
Application,PROPN,appos,Application,E-SKILL
",",PUNCT,punct,Application,O
especially,ADV,advmod,in,O
in,ADP,prep,developing,O
development,NOUN,compound,Server,O
SharePoint,PROPN,compound,platform,B-SKILL
platform,NOUN,compound,Server,E-SKILL
Microsoft,PROPN,compound,Server,B-SKILL
SharePoint,PROPN,compound,Server,M-SKILL
Server,PROPN,pobj,in,M-SKILL
2007,NUM,npadvmod,experience,E-SKILL
",",PUNCT,punct,experience,O
Microsoft,PROPN,compound,Server,B-SKILL
SharePoint,PROPN,compound,Server,M-SKILL
Server,PROPN,appos,experience,M-SKILL
2010,NUM,appos,Server,E-SKILL
",",PUNCT,punct,Server,O
and,CCONJ,cc,Server,O
SharePoint,PROPN,conj,Server,B-SKILL
2013,NUM,nummod,SharePoint,E-SKILL
.,PUNCT,punct,With,O
0,0,0,0,0
Joining,VERB,ROOT,Joining,O
2,NUM,nummod,projects,O
projects,NOUN,dobj,Joining,O
which,ADJ,nsubj,apply,O
apply,VERB,relcl,projects,O
Agile,PROPN,compound,process,B-SKILL
process,NOUN,dobj,apply,E-SKILL
and,CCONJ,cc,apply,O
having,VERB,conj,apply,O
daily,ADJ,amod,meeting,O
meeting,NOUN,dobj,having,O
with,ADP,prep,meeting,O
"customer,",PROPN,nmod,team,O
on-shore,NOUN,amod,team,O
team,NOUN,pobj,with,O
to,PART,aux,estimate,O
estimate,VERB,advcl,having,O
and,CCONJ,cc,estimate,O
report,VERB,conj,estimate,O
tasks.,NOUN,punct,Joining,O
0,0,0,0,0
Skills,NOUN,ROOT,Skills,O
0,0,0,0,0
Languages,NOUN,ROOT,Languages,O
and,CCONJ,cc,Languages,O
Scripting:,PROPN,conj,Languages,O
"C#,",PROPN,compound,Java,O
Java,PROPN,appos,Scripting:,S-SKILL
",",PUNCT,punct,Java,O
ASP.NET,NOUN,appos,Java,S-SKILL
",",PUNCT,punct,ASP.NET,O
MVC,PROPN,nmod,CSS3,B-SKILL
4,NUM,nummod,MVC,E-SKILL
",",PUNCT,punct,MVC,O
XML,NOUN,appos,MVC,S-SKILL
",",PUNCT,punct,XML,O
XSLT,PROPN,conj,XML,S-SKILL
",",PUNCT,punct,XSLT,O
JavaScript,PROPN,conj,XSLT,S-SKILL
",",PUNCT,punct,JavaScript,O
JQuery,PROPN,conj,JavaScript,S-SKILL
",",PUNCT,punct,JQuery,O
HTML5,PROPN,nmod,CSS3,S-SKILL
",",PUNCT,punct,HTML5,O
CSS3,PROPN,appos,Java,S-SKILL
0,0,0,0,0
Operating,VERB,advcl,XP,O
Systems:,PROPN,compound,Server,O
Windows,PROPN,compound,Server,B-SKILL
Server,PROPN,dobj,Operating,M-SKILL
2003,NUM,nummod,Server,E-SKILL
",",PUNCT,punct,XP,O
Windows,PROPN,compound,Server,B-SKILL
Server,PROPN,dep,XP,M-SKILL
2008,NUM,nummod,Server,E-SKILL
",",PUNCT,punct,Server,O
Windows,PROPN,compound,XP,B-SKILL
XP,PROPN,ROOT,XP,E-SKILL
",",PUNCT,punct,XP,O
Windows,PROPN,appos,XP,B-SKILL
7,NUM,nummod,Windows,E-SKILL
0,0,0,0,0
Databases:,PROPN,compound,Server,O
SQL,PROPN,compound,Server,B-SKILL
Server,PROPN,ROOT,Server,M-SKILL
2005,NUM,nummod,Server,M-SKILL
2008,NUM,nummod,2005,E-SKILL
0,0,0,0,0
IDEs:,PROPN,compound,Studio,O
Visual,PROPN,compound,Studio,B-SKILL
Studio,PROPN,ROOT,Studio,M-SKILL
"2005,",NUM,compound,"2008,",M-SKILL
"2008,",NUM,ROOT,"2008,",M-SKILL
"2010,",NUM,nummod,2012,M-SKILL
2012,NUM,appos,"2008,",E-SKILL
;,PUNCT,punct,"2008,",O
Eclipse,PROPN,appos,"2008,",S-SKILL
0,0,0,0,0
Web,NOUN,compound,Servers:,O
Servers:,PROPN,compound,IIS,O
IIS,PROPN,ROOT,IIS,S-SKILL
0,0,0,0,0
Tracking,VERB,ROOT,Tracking,O
Tools:,PROPN,compound,Jira,O
Jira,PROPN,dobj,Tracking,S-SKILL
0,0,0,0,0
Source,PROPN,compound,Control,O
Control,PROPN,compound,SVN,O
System:,PROPN,compound,SVN,O
Subversion,PROPN,compound,SVN,B-SKILL
SVN,PROPN,ROOT,SVN,E-SKILL
",",PUNCT,punct,SVN,O
CVS,PROPN,npadvmod,SVN,S-SKILL
",",PUNCT,punct,CVS,O
TFS,PROPN,appos,SVN,S-SKILL
0,0,0,0,0
Other:,PROPN,amod,InfoPath,O
InfoPath,PROPN,ROOT,InfoPath,B-SKILL
2007,NUM,npadvmod,InfoPath,E-SKILL
",",PUNCT,punct,InfoPath,O
InfoPath,PROPN,appos,InfoPath,B-SKILL
2010,NUM,nummod,InfoPath,E-SKILL
0,0,0,0,0
SUMMARY,NOUN,ROOT,SUMMARY,O
0,0,0,0,0
More,ADJ,amod,4,O
than,ADP,quantmod,4,O
4,NUM,nummod,years,B-LEVEL
years,NOUN,ROOT,years,M-LEVEL
of,ADP,prep,years,M-LEVEL
progressive,ADJ,amod,experience,M-LEVEL
experience,NOUN,pobj,of,E-LEVEL
of,ADP,prep,experience,O
software,NOUN,compound,development,O
development,NOUN,pobj,of,O
of,ADP,prep,development,O
both,CCONJ,det,server,O
native,ADJ,amod,server,O
and,CCONJ,cc,native,O
client,NOUN,conj,native,O
server,NOUN,pobj,of,O
"applications,",VERB,nsubj,targeting,O
targeting,VERB,acl,server,O
.Net,PUNCT,compound,platform,B-SKILL
platform,NOUN,dobj,targeting,E-SKILL
.,PUNCT,punct,years,O
0,0,0,0,0
SKILLS,NOUN,ROOT,SKILLS,O
0,0,0,0,0
Technical,PROPN,compound,Competence,O
Competence,PROPN,ROOT,Competence,O
0,0,0,0,0
Languages:,PROPN,compound,Proficient,O
Proficient,ADJ,ROOT,Proficient,S-LEVEL
in,ADP,prep,Proficient,O
Visual,ADJ,compound,ASP.NET,O
"C#,",PROPN,compound,ASP.NET,O
ASP.NET,NOUN,pobj,in,S-SKILL
",",PUNCT,punct,ASP.NET,O
MVC,PROPN,conj,ASP.NET,S-SKILL
",",PUNCT,punct,MVC,O
WCF,PROPN,conj,MVC,S-SKILL
",",PUNCT,punct,WCF,O
JavaScript,PROPN,conj,WCF,S-SKILL
",",PUNCT,punct,JavaScript,O
CSS,PROPN,conj,JavaScript,S-SKILL
",",PUNCT,punct,CSS,O
Ruby,PROPN,compound,Watir,B-SKILL
Watir,PROPN,conj,CSS,E-SKILL
.,PUNCT,punct,Proficient,O
0,0,0,0,0
Database,NOUN,nsubj,Reports,O
and,CCONJ,cc,Database,O
Reporting:,PROPN,nummod,Server,O
Microsoft,PROPN,compound,Server,B-SKILL
SQL,PROPN,compound,Server,M-SKILL
Server,PROPN,conj,Database,E-SKILL
",",PUNCT,punct,Server,O
SQL,PROPN,compound,Services,B-SKILL
Server,PROPN,compound,Services,M-SKILL
Reporting,PROPN,compound,Services,M-SKILL
Services,PROPN,conj,Database,E-SKILL
",",PUNCT,punct,Services,O
Crystal,PROPN,compound,Reports,B-SKILL
Reports,PROPN,ROOT,Reports,E-SKILL
.,PUNCT,punct,Reports,O
0,0,0,0,0
Good,ADJ,ROOT,Good,S-LEVEL
at,ADP,prep,Good,O
Software,PROPN,compound,Architecture,B-SKILL
Architecture,PROPN,pobj,at,E-SKILL
and,CCONJ,cc,Architecture,O
Design,PROPN,compound,Patterns,B-SKILL
Patterns,PROPN,conj,Architecture,E-SKILL
.,PUNCT,punct,Good,O
0,0,0,0,0
Familiar,ADJ,ROOT,Familiar,S-LEVEL
with,ADP,prep,Familiar,O
Agile,PROPN,compound,Methodology,B-SKILL
Development,PROPN,compound,Methodology,M-SKILL
Methodology,PROPN,pobj,with,E-SKILL
.,PUNCT,punct,Familiar,O
0,0,0,0,0
Soft,PROPN,compound,Skills,O
Skills,PROPN,ROOT,Skills,O
0,0,0,0,0
Fluent,ADJ,ROOT,Fluent,S-LEVEL
in,ADP,prep,Fluent,O
English,PROPN,pobj,in,S-SKILL
.,PUNCT,punct,Fluent,O
0,0,0,0,0
Enthusiastic,ADJ,amod,teamwork,O
teamwork,NOUN,nsubj,cultures.,S-SKILL
",",PUNCT,punct,teamwork,O
adaptive,ADJ,acl,teamwork,O
to,ADP,prep,adaptive,O
different,ADJ,amod,environments,O
working,NOUN,compound,environments,O
environments,NOUN,pobj,to,O
and,CCONJ,cc,environments,O
cultures.,NOUN,ROOT,cultures.,O
0,0,0,0,0
Flexible,ADJ,amod,approach,O
approach,NOUN,ROOT,approach,O
to,ADP,prep,approach,O
dealing,VERB,pcomp,to,O
with,ADP,prep,dealing,O
and,CCONJ,cc,dealing,O
solving,VERB,conj,dealing,O
both,DET,preconj,work,O
work,NOUN,dobj,solving,O
and,CCONJ,cc,work,O
interpersonal,ADJ,conj,work,O
problems.,VERB,punct,approach,O
0,0,0,0,0
Abroad,ADV,ROOT,Abroad,O
Working,PROPN,compound,Experience,O
Experience,NOUN,pobj,Abroad,O
0,0,0,0,0
Malaysia,PROPN,compound,September,O
September,PROPN,ROOT,September,O
2009,NUM,nummod,September,O
to,ADP,prep,September,O
September,PROPN,pobj,to,O
2011,NUM,nummod,September,O
.,PUNCT,punct,September,O
0,0,0,0,0
Skills,NOUN,ROOT,Skills,O
0,0,0,0,0
-,PUNCT,punct,experience,O
Have,VERB,aux,experience,O
experience,NOUN,ROOT,experience,O
OS:,NOUN,compound,Window,O
Window,NOUN,compound,Server,B-SKILL
Server,PROPN,dobj,experience,M-SKILL
2008,NUM,nummod,Server,E-SKILL
",",PUNCT,punct,Server,O
Window,NOUN,appos,Server,B-SKILL
7,NUM,nummod,Window,E-SKILL
",",PUNCT,punct,Window,O
Mac,PROPN,compound,OS,B-SKILL
OS,PROPN,conj,Window,E-SKILL
and,CCONJ,cc,OS,O
Red,PROPN,compound,Hat,B-SKILL
Hat,PROPN,conj,OS,M-SKILL
5.0,NUM,nummod,Window,E-SKILL
.,PUNCT,punct,experience,O
0,0,0,0,0
-,PUNCT,punct,Have,O
Have,VERB,ROOT,Have,O
knowledge,NOUN,compound,programming,O
programming,NOUN,dobj,Have,O
and,CCONJ,cc,programming,O
using,VERB,conj,programming,O
data,NOUN,compound,management,O
management,NOUN,dobj,using,O
systems:,NOUN,nmod,Oracle,O
Oracle,PROPN,appos,management,S-SKILL
and,CCONJ,cc,Oracle,O
SQL,PROPN,compound,Server,B-SKILL
Server,PROPN,conj,Oracle,E-SKILL
.,PUNCT,punct,Have,O
0,0,0,0,0
-,PUNCT,punct,experience,O
Have,VERB,aux,experience,O
experience,NOUN,ROOT,experience,O
programming,NOUN,compound,language,O
language,NOUN,compound,C#,O
C#,PROPN,dobj,experience,O
using,VERB,xcomp,experience,O
IDE,PROPN,compound,Studio,B-SKILL
Visual,ADJ,compound,Studio,M-SKILL
Studio,PROPN,dobj,using,M-SKILL
2010,NUM,nummod,Studio,E-SKILL
and,CCONJ,cc,Studio,O
SharePoint,PROPN,conj,Studio,B-SKILL
2010,NUM,nummod,SharePoint,E-SKILL
Using,VERB,ROOT,Using,O
Web,NOUN,compound,Part,B-SKILL
Part,PROPN,dobj,Using,E-SKILL
",",PUNCT,punct,Part,O
JQuery,PROPN,conj,Part,S-SKILL
",",PUNCT,punct,JQuery,O
Bootstrap,PROPN,conj,JQuery,S-SKILL
",",PUNCT,punct,Bootstrap,O
SPService,PROPN,conj,Bootstrap,S-SKILL
to,PART,aux,call,O
call,VERB,xcomp,Using,O
Web,PROPN,compound,Service,B-SKILL
Service,PROPN,dobj,call,M-SKILL
of,ADP,prep,Service,M-SKILL
SharePoint,PROPN,pobj,of,E-SKILL
",",PUNCT,punct,Using,O
List,PROPN,compound,"definition,",O
"definition,",PROPN,conj,Using,O
Content,NOUN,compound,"Instances,",O
"type,",X,compound,"Instances,",O
custom,NOUN,compound,"Instances,",O
Data,PROPN,compound,"Instances,",O
"Type,",PROPN,compound,"Instances,",O
List,PROPN,compound,"Instances,",O
"Instances,",PROPN,nsubj,define,O
define,VERB,ROOT,define,O
new,ADJ,amod,data,O
type,NOUN,compound,data,O
data,NOUN,dobj,define,O
in,ADP,prep,define,O
SharePoint,PROPN,pobj,in,O
",",PUNCT,punct,define,O
creating,VERB,advcl,define,O
ASMX,PROPN,dobj,creating,S-SKILL
in,ADP,prep,creating,O
SharePoint,PROPN,pobj,in,B-SKILL
2010,NUM,nummod,SharePoint,E-SKILL
",",PUNCT,punct,creating,O
etc…,X,dep,define,O
.,PUNCT,punct,define,O
0,0,0,0,0
-,PUNCT,punct,Having,O
Having,VERB,ROOT,Having,O
programming,NOUN,compound,skills,O
skills,NOUN,dobj,Having,O
on,ADP,prep,skills,O
mobile,ADJ,amod,platform,O
phone:,NOUN,compound,iOS,O
iOS,NOUN,compound,platform,B-SKILL
platform,NOUN,pobj,on,E-SKILL
",",PUNCT,punct,Having,O
Worklight,PROPN,compound,IBM,B-SKILL
IBM,PROPN,npadvmod,Having,E-SKILL
",",PUNCT,punct,IBM,O
Jquery,PROPN,compound,framework,B-SKILL
framework,NOUN,appos,IBM,E-SKILL
",",PUNCT,punct,framework,O
and,CCONJ,cc,framework,O
Dojo,PROPN,compound,framework,B-SKILL
framework,NOUN,conj,framework,E-SKILL
.,PUNCT,punct,Having,O
0,0,0,0,0
-,PUNCT,punct,Good,O
Good,ADJ,amod,thinking,S-LEVEL
logical,ADJ,amod,thinking,B-SKILL
thinking,NOUN,dep,understand,E-SKILL
;,PUNCT,punct,understand,O
"read,",PROPN,nsubj,understand,O
understand,VERB,ROOT,understand,O
English,PROPN,dobj,understand,S-SKILL
;,PUNCT,punct,understand,O
good,ADJ,amod,handling,S-LEVEL
handling,VERB,nsubj,arise,O
"errors,",NOUN,compound,problems,O
problems,NOUN,dobj,handling,O
arise,VERB,conj,understand,O
in,ADP,prep,arise,O
the,DET,det,course,O
course,NOUN,pobj,in,O
of,ADP,prep,course,O
programming.,NOUN,pobj,of,O
0,0,0,0,0
Summary,PROPN,ROOT,Summary,O
0,0,0,0,0
•,PUNCT,meta,experience,O
More,ADJ,amod,4,B-LEVEL
than,ADP,quantmod,4,M-LEVEL
4,NUM,nummod,years,M-LEVEL
years,NOUN,compound,experience,M-LEVEL
experience,NOUN,ROOT,experience,E-LEVEL
in,ADP,prep,experience,O
web,NOUN,compound,win,O
win,VERB,compound,base,O
software,NOUN,compound,development,O
development,NOUN,compound,base,O
base,NOUN,pobj,in,O
on,ADP,prep,experience,O
.Net,PUNCT,compound,Framework,B-SKILL
Framework,NOUN,pobj,on,E-SKILL
.,PUNCT,punct,experience,O
0,0,0,0,0
•,PUNCT,compound,Experience,O
Experience,NOUN,ROOT,Experience,O
in,ADP,prep,Experience,O
Sharepoint,PROPN,compound,webpart,S-SKILL
webpart,NOUN,pobj,in,O
over,ADP,prep,Experience,B-LEVEL
2,NUM,nummod,years,M-LEVEL
years,NOUN,pobj,over,E-LEVEL
0,0,0,0,0
•,PUNCT,compound,Experience,O
Experience,NOUN,ROOT,Experience,O
in,ADP,prep,Experience,O
SQL,PROPN,compound,Server,B-SKILL
Server,PROPN,pobj,in,E-SKILL
.,PUNCT,punct,Experience,O
0,0,0,0,0
•,NUM,ROOT,•,O
Good,ADJ,amod,knowledge,B-LEVEL
knowledge,NOUN,ROOT,knowledge,E-LEVEL
of,ADP,prep,knowledge,O
analyst,NOUN,compound,business,O
business,NOUN,pobj,of,O
process.,NOUN,nmod,knowledge,O
0,0,0,0,0
•,PROPN,compound,Ability,O
Ability,NOUN,ROOT,Ability,O
to,PART,aux,work,O
work,VERB,acl,Ability,B-SKILL
under,ADP,prep,work,M-SKILL
high,ADJ,amod,pressure,M-SKILL
pressure,NOUN,pobj,under,E-SKILL
.,PUNCT,punct,Ability,O
0,0,0,0,0
•,PUNCT,ROOT,•,O
Good,ADJ,compound,team-spirit.,S-LEVEL
team-spirit.,X,ROOT,team-spirit.,O
0,0,0,0,0
•,PUNCT,ROOT,•,O
Fairly,ADV,advmod,good,B-LEVEL
good,ADJ,amod,communication,E-LEVEL
communication,NOUN,compound,English,B-SKILL
English,PROPN,ROOT,English,E-SKILL
More,ADJ,amod,3,B-LEVEL
than,ADP,quantmod,3,M-LEVEL
3,NUM,nummod,years,M-LEVEL
years,NOUN,npadvmod,English,E-LEVEL
working,VERB,acl,years,O
in,ADP,prep,working,O
software,NOUN,compound,companies,O
outsourcing,NOUN,compound,companies,O
companies,NOUN,pobj,in,O
where,ADV,advmod,is,O
communication,NOUN,nsubj,is,O
in,ADP,prep,communication,O
English,PROPN,pobj,in,S-SKILL
is,VERB,relcl,companies,O
mandatory.,NOUN,attr,is,O
0,0,0,0,0
Skills,NOUN,ROOT,Skills,O
0,0,0,0,0
•,PROPN,compound,Language,O
Language,NOUN,ROOT,Language,O
