Good,ADJ,ROOT,Good,S-LEVEL
in,ADP,prep,Good,O
Performance,PROPN,compound,Testing,B-SKILL
Testing,PROPN,pobj,in,E-SKILL
",",PUNCT,punct,Testing,O
Software,PROPN,compound,Assurance,B-SKILL
Quality,PROPN,compound,Assurance,M-SKILL
Assurance,PROPN,conj,Testing,E-SKILL
",",PUNCT,punct,Assurance,O
Software,PROPN,compound,Management,B-SKILL
Project,PROPN,compound,Management,M-SKILL
Management,PROPN,dobj,Good,E-SKILL
0,0,0,0,0
Depth,NOUN,compound,experience,B-LEVEL
experience,NOUN,ROOT,experience,E-LEVEL
in,ADP,prep,experience,O
Mobile,PROPN,compound,Applications,B-SKILL
Applications,PROPN,pobj,in,E-SKILL
",",PUNCT,punct,Applications,O
Project,PROPN,compound,Management,B-SKILL
Management,PROPN,conj,Applications,E-SKILL
",",PUNCT,punct,Management,O
Agile,PROPN,compound,Methodologies,B-SKILL
Methodologies,NOUN,dobj,experience,E-SKILL
0,0,0,0,0
Strong,ADJ,ROOT,Strong,S-LEVEL
in,ADP,prep,Strong,O
Automated,PROPN,compound,Software,B-SKILL
Software,PROPN,compound,Testing,M-SKILL
Testing,PROPN,pobj,in,E-SKILL
",",PUNCT,punct,Testing,O
Team,PROPN,compound,Management,B-SKILL
Management,PROPN,conj,Testing,E-SKILL
",",PUNCT,punct,Management,O
Software,PROPN,compound,Engineering,B-SKILL
Engineering,PROPN,appos,Testing,E-SKILL
0,0,0,0,0
Strong,ADJ,advcl,Analysis,S-LEVEL
at,ADP,prep,Strong,O
Agile,PROPN,compound,Management,B-SKILL
Project,PROPN,compound,Management,M-SKILL
Management,PROPN,pobj,at,E-SKILL
",",PUNCT,punct,Analysis,O
Requirements,PROPN,compound,Analysis,B-SKILL
Analysis,PROPN,ROOT,Analysis,E-SKILL
",",PUNCT,punct,Analysis,O
Software,PROPN,compound,Management,B-SKILL
Project,PROPN,compound,Management,M-SKILL
Management,PROPN,appos,Analysis,E-SKILL
0,0,0,0,0
Proficiency,NOUN,ROOT,Proficiency,S-LEVEL
of,ADP,prep,Proficiency,O
Bootstrap,PROPN,pobj,of,S-SKILL
",",PUNCT,punct,Bootstrap,O
MVC,PROPN,conj,Bootstrap,S-SKILL
",",PUNCT,punct,MVC,O
Javascript,NOUN,appos,Bootstrap,S-SKILL
0,0,0,0,0
Intermediate,PROPN,nmod,Testing,S-LEVEL
at,ADP,prep,Intermediate,O
Software,PROPN,compound,Assurance,B-SKILL
Quality,PROPN,compound,Assurance,M-SKILL
Assurance,PROPN,pobj,at,E-SKILL
",",PUNCT,punct,Assurance,O
Software,PROPN,compound,Management,B-SKILL
Project,PROPN,compound,Management,M-SKILL
